descmarca,producto,descrip,claseprod,preciosiva
PERROTA,PEO3780_SA,LLAVE T CORTA DE 7/8pulg,PESOS,"1159,3"
PERROTA,PEO0007_SA,LLAVE T CORTA DE 7MM.,PESOS,"159,18"
PERROTA,PEO0008_SA,LLAVE T CORTA DE 8MM.,PESOS,"200,7"
PERROTA,PEO3916_SA,LLAVE T CORTA DE 9/16pulg,PESOS,"294,14"
PERROTA,PEO0009_SA,LLAVE T CORTA DE 9MM.,PESOS,"200,7"
PERROTA,PEO4120_SA,LLAVE T LARGA DE 1/2pulg,PESOS,"397,96"
PERROTA,PEO0110_SA,LLAVE T LARGA DE 10MM.,PESOS,"352,98"
PERROTA,PEO0111_SA,LLAVE T LARGA DE 11MM.,PESOS,"352,98"
PERROTA,PEO0112_SA,LLAVE T LARGA DE 12MM.,PESOS,"397,96"
PERROTA,PEO0113_SA,LLAVE T LARGA DE 13MM.,PESOS,"449,88"
PERROTA,PEO0114_SA,LLAVE T LARGA DE 14MM.,PESOS,"449,88"
PERROTA,PEO4716_SA,LLAVE T LARGA DE 7/16pulg,PESOS,"352,98"
PERROTA,PEO0108_SA,LLAVE T LARGA DE 8MM.,PESOS,"294,14"
PERROTTA,PER328,LLAVE TAPA CILINDRO 15 MM. FIAT,PESOS,"7670,5"
PERROTTA,PER2560,LLAVE TAPON CARTER 8 X 8 TIPO L,PESOS,"2303,77"
PERROTTA,PER256,LLAVE TAPON CARTER RENAULT 11,PESOS,"2303,77"
CELESTAL,CEL2116,"LLAVE TIPO ALLEN 1/16""",PESOS,"59,39"
CELESTAL,CEL212,"LLAVE TIPO ALLEN 1/2""",PESOS,"725,74"
CELESTAL,CEL214,"LLAVE TIPO ALLEN 1/4""",PESOS,"176,15"
CELESTAL,CEL218,"LLAVE TIPO ALLEN 1/8""",PESOS,"69,94"
CELESTAL,CEL210,LLAVE TIPO ALLEN 10 MM.,PESOS,"442,05"
CELESTAL,CEL22,LLAVE TIPO ALLEN 2 MM.,PESOS,"59,39"
CELESTAL,CEL225,LLAVE TIPO ALLEN 2.5 MM.,PESOS,"59,39"
CELESTAL,CEL23,LLAVE TIPO ALLEN 3 MM.,PESOS,"62,69"
